Gene	WT-Com1	WT-Com2	WT-Com3	WT-Q1	WT-Q2	WT-Q3	p53-Com1	p53-Com2	p53-Com3	p53-Q1	p53-Q2	p53-Q3
0610005C13Rik	0.0453505	0.0649642	0.0653858	0.0945483	0.205499	0.0203303	0.317549	0.190121	0.222136	0.197969	0.0635563	0.196919
0610007P14Rik	24.6258	23.2919	23.5876	16.2929	17.5333	17.209	15.9554	15.8052	15.8586	14.4332	15.606	14.4685
0610009B22Rik	11.1261	10.4007	10.7357	13.8791	12.7289	12.1633	16.9041	15.9654	17.1972	15.9708	18.4084	17.3642
0610009L18Rik	1.76735	1.68781	2.01481	0.685513	1.03469	0.663312	0.72908	0.861536	0.805286	0.466491	0.614412	0.535404
0610009O20Rik	7.67271	7.96291	7.35383	11.2958	11.954	11.8787	15.1835	15.279	15.2401	13.8306	14.9743	15.1048
0610010B08Rik	0.107403	0.0568298	0.0824946	0.285027	0.14565	0.133294	0.16196	0.0780391	0.133187	0.369068	0.251363	0.410387
0610010F05Rik	5.11905	4.8828	4.80816	8.04592	7.41338	7.41619	12.4902	11.9591	12.1728	10.1832	10.6908	10.3267
0610010K14Rik	33.8292	32.4399	33.186	23.4416	26.4327	27.8323	17.5869	18.528	18.8361	13.1375	12.627	13.0195
0610012G03Rik	10.7059	10.3892	9.64208	12.0254	13.0445	13.3669	7.33087	7.55525	8.21751	7.59531	7.51399	7.84041
0610030E20Rik	11.0353	11.0263	10.8973	15.1547	15.1535	14.5359	6.82235	6.36634	6.68538	8.51769	8.78169	8.72998
0610031O16Rik	0	0	0	0.0321854	0	0	0	0	0	0	0	0
0610037L13Rik	8.31651	9.55573	9.34971	11.029	10.4061	10.3096	6.32485	6.72544	5.88139	4.26771	4.2452	4.21659
0610038B21Rik	0.672907	0.477632	0.674965	0.286665	0.292658	0.199995	0.158726	0.129464	0.117654	0.267962	0.128959	0.089635
0610039H22Rik	0.0348516	0.0665661	0.0669981	0.0726597	0	0.249979	0	0	0	0	0	0
0610039K10Rik	0.0806673	0.0513462	0.103432	0.111685	0	0.0722577	0.0751459	0.0674983	0.104886	0.0935031	0.0752053	0.0465373
0610040B10Rik	0.636041	0.828294	1.0004	1.44659	1.28094	0.933159	0.6478	0.775695	0.849669	1.11061	1.13448	0.703002
0610040F04Rik	0.0872439	0.0612265	0.0102191	0	0	0.00988183	0.0198518	0	0.0211415	0.00955354	0	0.0276987
0610040J01Rik	0	0.0129928	0	0	0	0	0.0254039	0	0.0666407	0.0118781	0.0254225	0.0472606
0610043K17Rik	0	0.0786298	0.0791401	0.171656	0.0414545	0.0369103	0	0	0	0	0	0.0357514
1010001N08Rik	0	0.0243209	0.0244788	0.079642	0.051289	0.0685002	0.213988	0.234883	0.399177	0.333515	0.333114	0.489641
1110002J07Rik	0.00991104	0.01893	0.00952641	0	0	0	0.0832777	0.108029	0.116511	0.103835	0.129638	0.154927
1110002L01Rik	1.03518	1.09534	0.794738	10.0089	9.99918	9.47957	2.08941	2.43186	2.30336	7.56766	7.39474	7.3623
1110004E09Rik	9.99727	10.7172	10.934	12.8385	12.0274	12.3565	15.7875	16.471	15.0227	14.859	16.31	15.8441
1110004F10Rik	35.9454	36.9482	35.8954	62.5701	61.3206	61.5885	36.5791	37.2084	36.8335	45.9474	47.2175	47.5975
1110006O24Rik	1.12632	1.73999	1.43287	0.966904	0.667158	0.71283	0.649487	0.861042	0.519242	0.404909	0.340457	0.517836
1110008F13Rik	38.8038	38.1027	38.1465	75.0043	75.6394	75.408	85.5434	84.6669	86.2112	121.117	124.761	126.932
1110008L16Rik	2.63121	2.73527	2.67094	3.71848	3.44239	3.84567	3.64643	3.99709	3.6515	4.71017	4.57839	5.05488
1110008P14Rik	18.7424	20.3396	19.8761	16.3484	17.6252	18.1235	19.1974	19.0913	19.1574	24.883	22.3591	24.6838
1110012L19Rik	12.2515	12.1138	11.4984	11.0148	11.4643	11.1787	12.6516	13.8444	12.733	14.8992	15.5844	15.9071
1110017D15Rik	0.0788888	0.113007	0.0947841	0.0411175	0	0.0353652	0.0552387	0.0165361	0.0386413	0.0172187	0.0368528	0
1110019D14Rik	1.01902	1.28133	0.946829	0.672757	0.75249	0.867958	0.903806	0.882884	1.04819	0.919327	0.904469	1.06194
1110020A21Rik	0.750737	0.657203	0.561246	0.499982	0.356984	0.448732	0.350449	0.297244	0.347296	0.473373	0.467608	0.362202
1110028F11Rik	0	0	0	0	0	0	0.017562	0	0	0	0	0
1110032A03Rik	3.41998	3.86866	3.19021	1.77595	1.86804	1.90088	1.16642	1.2909	1.12502	1.53149	1.40309	1.40282
1110034G24Rik	0.432387	0.6772	0.432231	0.757222	0.626974	0.651287	1.17875	1.10211	1.25381	1.1174	1.03418	1.11148
1110036E04Rik	0.0327434	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	24.3296	24.9727	24.9183	17.888	17.9134	18.3446	11.2203	11.0421	11.0379	11.1732	10.7675	11.0425
1110038B12Rik	133.774	128.207	126.465	640.879	674.197	674.46	67.3467	72.433	73.2043	171.171	169.093	177.093
1110038F14Rik	13.4087	11.7586	12.597	14.172	14.6058	14.8446	12.5186	13.1978	12.8844	11.0552	11.2641	12.3736
1110046J04Rik	5.99205	4.90176	5.66509	5.01745	5.01287	4.93201	1.28393	1.48251	1.12269	1.05772	0.978948	0.938369
1110051M20Rik	3.59855	3.56797	3.55391	3.73006	3.60488	3.72341	6.69826	6.90826	7.04993	6.56283	6.9445	6.55741
1110058D11Rik	0	0	0.0366631	0	0	0.0683975	0.0356112	0.0959443	0.0373667	0.0999046	0.0356373	0.0331249
1110059E24Rik	19.3663	18.886	18.3407	26.1865	25.4753	25.2865	17.1658	18.6577	17.663	22.8499	22.8046	23.1619
